Crimes,cityKod,city,crimeType
309,7400,נתניה,גניבה מתוך רכב
309,6500,חדרה,גניבות אחרות
309,7000,לוד,גרימת נזק לרכוש בזדון
308,6400,הרצליה,(תקיפה (למעט עובדי ציבור
307,2600,אילת,גרימת נזק לרכוש בזדון
306,6600,חולון,עבירות נגד הסדר הצבורי
301,7600,עכו,גניבות אחרות
301,8300,ראשון לציון,עבירות נגד הסדר הצבורי
300,6100,בני ברק,גרימת נזק לרכוש בזדון
300,1161,רהט,עבירות על חוק הכניסה לישראל
299,8900,טמרה,עבירות נגד הסדר הצבורי
296,8400,רחובות,גרימת נזק לרכוש בזדון
290,2200,דימונה,איומים
290,3000,ירושלים,התפרצות לבית דירה
290,5000,תל אביב יפו,שמוש בסמים מסוכנים
288,9100,נהריה,איומים
288,6900,כפר סבא,גניבות אחרות
288,5000,תל אביב יפו,גניבת חלקי רכב
285,1200,מודיעין-מכבים-רעות,גניבה שמוש רכב ללא רשות
284,2730,טייבה,איומים
284,9000,באר שבע,מרמה ועושק
284,7000,לוד,עבירות נגד הסדר הצבורי
281,9000,באר שבע,גניבת חלקי רכב
281,9000,באר שבע,הסגות גבול
281,3000,ירושלים,עבירות פיסקליות
280,8500,רמלה,עבירות נגד הסדר הצבורי
279,2640,ראש העין,איומים
279,3000,ירושלים,גניבה מתוך רכב
277,4000,חיפה,גניבה מתוך רכב
277,3000,ירושלים,זיוף מסמכים והפצתם
276,8500,רמלה,גניבות אחרות
274,4000,חיפה,תקיפת והכשלת שוטר
272,7100,אשקלון,עבירות נגד הסדר הצבורי
270,7700,עפולה,(תקיפה (למעט עובדי ציבור
269,2200,דימונה,(תקיפה (למעט עובדי ציבור
266,6900,כפר סבא,(תקיפה (למעט עובדי ציבור
266,7100,אשקלון,עבירות הנוגעות לנחלת משפט
266,5000,תל אביב יפו,עבירות טכניות
265,7300,נצרת,(תקיפה (למעט עובדי ציבור
265,6200,בת ים,גניבה מתוך רכב
264,8700,רעננה,גניבה שמוש רכב ללא רשות
264,7900,פתח תקווה,עבירות נגד הסדר הצבורי
262,6500,חדרה,גרימת נזק לרכוש בזדון
258,2720,טירה,איומים
255,9100,נהריה,(תקיפה (למעט עובדי ציבור
255,8300,ראשון לציון,מרמה ועושק
254,5000,תל אביב יפו,החזקת רכוש גנוב
253,5000,תל אביב יפו,חבלה גופנית חמורה
253,8300,ראשון לציון,עבירות הנוגעות לנחלת משפט
250,6900,כפר סבא,איומים
249,2600,אילת,עבירות הנוגעות לנחלת משפט
249,7400,נתניה,עבירות הנוגעות לנחלת משפט
248,3000,ירושלים,מעשה מגונה בכח
242,6200,בת ים,עבירות נגד הסדר הצבורי
241,7400,נתניה,עבירות נגד הסדר הצבורי
240,5000,תל אביב יפו,רשלנות ופחזות פלילית
239,6400,הרצליה,גרימת נזק לרכוש בזדון
238,7100,אשקלון,מרמה ועושק
237,6800,קרית אתא,גניבות אחרות
236,9000,באר שבע,תקיפת והכשלת שוטר
235,1061,נוף הגליל,(תקיפה (למעט עובדי ציבור
234,1161,רהט,גרימת נזק לרכוש בזדון
233,2640,ראש העין,(תקיפה (למעט עובדי ציבור
231,7600,עכו,גרימת נזק לרכוש בזדון
231,4000,חיפה,התפרצות לבית דירה
231,8600,רמת גן,עבירות נגד הסדר הצבורי
231,4000,חיפה,עבירות פיסקליות
230,7900,פתח תקווה,גניבה מתוך רכב
227,2660,יבנה,איומים
227,8500,רמלה,גניבה מתוך רכב
225,6800,קרית אתא,(תקיפה (למעט עובדי ציבור
225,2650,רמת השרון,גניבה שמוש רכב ללא רשות
224,9000,באר שבע,סחריבוא ויצוא סמים
222,8800,שפרעם,איומים
222,3000,ירושלים,שאר עבירות מרמה
221,3000,ירושלים,מרד והסתה למרד
220,8300,ראשון לציון,גניבת חלקי רכב
219,6600,חולון,גניבה מתוך רכב
218,31,אופקים,איומים
218,4000,חיפה,הסגות גבול
217,6700,טבריה,גניבות אחרות
217,3000,ירושלים,ידוי אבנים
215,2710,אום אל-פחם,עבירות נגד הסדר הצבורי
214,8500,רמלה,גניבה שמוש רכב ללא רשות
213,7700,עפולה,גניבות אחרות
213,6600,חולון,עבירות הנוגעות לנחלת משפט
211,70,אשדוד,מרמה ועושק
210,6700,טבריה,גרימת נזק לרכוש בזדון
210,7400,נתניה,התפרצות לבתי עסק ומוסדות
209,6300,גבעתיים,גניבה שמוש רכב ללא רשות
209,2630,קרית גת,גניבות אחרות
208,8900,טמרה,איומים
207,246,נתיבות,(תקיפה (למעט עובדי ציבור
207,246,נתיבות,איומים
207,4000,חיפה,גניבה שמוש רכב ללא רשות
207,2630,קרית גת,גרימת נזק לרכוש בזדון
206,9100,נהריה,גניבות אחרות
206,1748,נמל תעופה בן גוריון,גניבות אחרות
205,7300,נצרת,גרימת נזק לרכוש בזדון
205,5000,תל אביב יפו,שאר עבירות מרמה
203,2620,קרית אונו,גניבה שמוש רכב ללא רשות
201,6200,בת ים,עבירות הנוגעות לנחלת משפט
200,9500,קרית ביאליק,איומים
199,7900,פתח תקווה,עבירות על חוק הכניסה לישראל
198,7700,עפולה,גרימת נזק לרכוש בזדון
197,2600,אילת,עבירות נגד הסדר הצבורי
196,2660,יבנה,(תקיפה (למעט עובדי ציבור
